id,name,level,craftingPrice,material1,base1,count1,material2,base2,count2,material3,base3,count3,material4,base4,count4,material5,base5,count5
175,치즈,15,12,우유,0,3,,,,,,,,,,,,
176,사과 카레 라이스,16,139,감자,0,3,사과,0,6,밀,0,5,달걀,0,1,,,
177,포테이토 피자,16,139,치즈,1,2,빵,1,2,토마토,0,3,감자,0,3,,,
178,딸기잼 바게트 햄퍼,16,92,무명천,1,2,빵,1,4,딸기,0,5,달걀,0,2,,,
179,얼음,17,53,광천수,0,1,,,,,,,,,,,,
180,감자스프,17,181,우유,0,3,감자,0,4,소고기,0,1,,,,,,
181,소고기 그라탕,17,177,치즈,1,3,소고기,0,2,토마토,0,4,,,,,,
182,사과 주스,17,155,꿀,0,5,사과,0,8,광천수,0,1,,,,,,
183,오렌지 에이드,17,161,광천수,0,1,오렌지,0,2,얼음,1,1,,,,,,
184,숙성 등심 스테이크,18,231,토마토,0,2,소고기,0,3,아스파라거스,0,1,,,,,,
185,아스파라거스 파스타,18,184,우유,0,2,밀,0,3,아스파라거스,0,3,,,,,,
186,팝콘,20,302,옥수수,0,5,종이,1,5,,,,,,,,,
187,옥수수 스프,20,276,씨앗,0,2,옥수수,0,3,우유,0,4,접시,1,1,,,
188,토마토 토르텔리니 스프,20,257,토마토,0,5,소고기,0,2,밀,0,5,접시,1,1,,,
189,비프스튜,21,451,토마토,0,3,소고기,0,4,감자,0,3,광천수,0,2,,,
190,설탕,22,95,사탕수수,0,2,,,,,,,,,,,,
191,생크림,22,147,우유,0,5,설탕,1,1,,,,,,,,,
192,오복 아이스티,22,411,찻잎,0,3,오렌지,0,5,복숭아,0,3,얼음,1,1,,,
193,딸기 쇼트 케이크,22,510,생크림,1,2,딸기 케이크,1,2,달걀,0,5,,,,,,
194,봄을 담은 스트로베리 롤케이크,22,772,식기 세트,1,1,딸기,0,10,생크림,1,2,접시,0,1,,,
195,치즈 나초,23,523,옥수수,0,5,치즈,1,5,소금,0,2,,,,,,
196,로얄골드 홍차,24,503,오렌지,0,3,찻잎,0,3,찻잔,1,1,,,,,,
197,유러피안 로얄골드 홍차세트,24,1161,광천수,0,1,로얄골드 홍차,1,1,지그재그 주전자,1,1,,,,,,
198,포도씨유,25,223,포도,0,3,,,,,,,,,,,,
199,계란후라이,25,1031,포도씨유,1,3,달걀,0,2,소금,0,1,,,,,,
200,꽁치 구이,25,758,접시,1,1,꽁치,0,2,소금,0,2,포도씨유,1,1,,,
201,당근 머핀,26,738,포도씨유,1,2,당근,0,3,밀,0,5,달걀,0,3,,,
202,피치 베리 무스컵,26,737,포도,0,2,복숭아,0,4,생크림,1,2,식빵,1,4,,,
203,아메리카노,26,683,커피,0,3,광천수,0,3,찻잔,1,1,,,,,,
204,톡톡팡팡 탄산수,27,632,금속 막대기,1,1,광천수,0,5,유리병,1,1,,,,,,
205,당근 도넛 케이크,27,1943,식기 세트,1,1,생크림,1,3,당근,0,3,버터,1,2,네이비 도트 베이킹 세트,1,1
206,구야시레베시,28,821,그릇,1,1,소고기,0,3,당근,0,3,광천수,0,3,토마토,0,2
207,아이스 아메리카노,28,1098,아메리카노,1,1,얼음,1,2,,,,,,,,,
208,새우튀김,29,1114,포도씨유,1,2,새우,0,3,,,,,,,,,
209,랍스터 치즈 화덕구이,30,1042,치즈,1,5,랍스터,0,5,감자,0,5,접시,1,1,,,
210,초콜릿,32,261,카카오,0,2,버터,1,2,,,,,,,,,
211,연어 샐러드,32,1112,토마토,0,5,연어,0,5,양배추,0,3,접시,1,1,,,
212,참치 통조림,33,1050,캔,1,1,참치,0,3,소금,0,2,,,,,,
213,칠리 새우,33,1286,소금,0,3,새우,0,6,토마토,0,7,그릇,1,1,,,
214,고래기름,35,739,고래,0,2,포도씨유,1,1,,,,,,,,,
215,초코바나나 크레프,35,2457,초콜릿,1,3,바나나,0,4,생크림,1,4,밀,0,4,,,
216,초콜릿베리 무스 케이크,36,1936,체리,0,2,베리베리 타르트,1,1,초콜릿,1,4,접시,1,1,,,
217,캐비어,37,1611,소금,0,8,상어,0,3,캔,1,1,,,,,,
218,초밥 세트,37,2167,달걀,0,5,새우,0,5,연어,0,5,참치,0,5,고급 나무 판자,1,1
219,슈가 체리츄,37,1410,광천수,0,3,체리,0,5,설탕,1,3,,,,,,
220,에그 캐비어,38,2447,달걀,0,3,캐비어,1,1,접시,1,1,,,,,,
221,후레쉬 치킨 샐러드,40,1474,양배추,0,5,닭고기,0,3,토마토,0,5,오렌지,0,5,,,
222,그릴드 허브 치킨,40,1927,아스파라거스,0,3,닭고기,0,5,찻잎,0,3,고급 나무 판자,1,3,,,
223,스위트 바닐라 아이스크림,41,1393,생크림,1,2,바닐라,0,3,얼음,1,2,꿀,0,4,,,
224,바닐라 아포가토,41,3362,아메리카노,1,1,스위트 바닐라 아이스크림,1,1,초콜릿,1,1,,,,,,
225,파티용 두툼 로스트 비프,41,5085,강철,1,3,소고기,0,10,통통비치 아이스 와인통,1,1,찻잎,0,4,,,
226,후루츠 생크림 3단 케이크,41,3731,생크림,1,10,베리베리 타르트,1,5,그릇,1,3,,,,,,
227,달콤 디저트 파티 테이블,41,18044,가드닝 파티 원형 테이블,1,1,후루츠 생크림 3단 케이크,1,1,,,,,,,,,
228,바닐라 시럽,43,688,진한 캬라멜 스프레드,1,2,바닐라,0,2,설탕,1,1,,,,,,
229,베이커리 스콘 세트,43,933,종이,1,1,버터,1,4,옥수수,0,8,딸기잼 듬뿍 식빵,1,2,포도,0,4
230,아이스 바닐라 라떼,43,2745,바닐라 시럽,1,1,아이스 아메리카노,1,1,고무,0,2,,,,,,
231,커스터드 푸딩,43,3849,우유,0,5,달걀,0,5,바닐라 시럽,1,3,설탕,1,5,버터,1,4
232,모닝 베이글 샌드위치,44,969,치즈,1,2,양배추,0,4,식빵,1,2,소고기,0,4,토마토,0,3
233,레몬 머랭 쿠키,44,1896,달걀,0,5,화병,1,1,레몬,0,6,생크림,1,2,,,
234,따뜻한 오늘의 커피,44,2682,레몬,0,4,오동나무 판자,1,1,찻잔,1,1,아메리카노,1,1,,,
235,캐러멜마키아토,44,2040,진한 캬라멜 스프레드,1,6,아메리카노,1,1,설탕,1,4,,,,,,
236,비엔나커피,44,2970,생크림,1,4,아메리카노,1,1,바닐라 시럽,1,1,,,,,,
237,옐로썸머 레모네이드,44,4072,얼음,1,3,톡톡팡팡 탄산수,1,3,레몬,0,5,고무,0,2,,,
238,꿀레몬청,45,1555,바닐라 시럽,1,1,레몬,0,3,고무,0,2,,,,,,
239,레몬 머랭 타르트,45,5090,찻잎,0,2,레몬 머랭 쿠키,1,1,꿀레몬청,1,1,접시,1,1,,,
240,크렘 브륄레,45,9241,블루베리,0,7,그릇,1,3,커스터드 푸딩,1,1,바나나,0,5,컵홀더 수저통,1,1
241,로지 로즈티,46,3608,꿀레몬청,1,1,노란장미,0,5,로얄골드 홍차,1,1,라벤더,0,4,,,
242,로얄 에클레어 세트,46,3525,레이스,1,1,체리,0,3,초콜릿베리 무스 케이크,1,1,접시,1,1,,,
243,무스 오 쇼콜라,47,3412,식기 세트,1,1,초콜릿,1,2,바닐라 시럽,1,2,찻잔,1,1,,,
244,로얄 카나페 세트,48,1604,토마토 토르텔리니 스프,1,1,참치,0,3,새우,0,3,치즈,1,3,식기 세트,1,1
245,허니 로얄 밀크티,52,1604,베아트리체 앤틱 찻잔 세트,1,1,유러피안 로얄골드 홍차세트,1,1,우유,0,6,바닐라 시럽,1,2,,,
246,모닝 로얄 크로와상,52,10033,백금 과일 접시,1,1,베이커리 스콘 세트,1,1,버터,1,4,딸기잼 바게트 햄퍼,1,2,,,
247,유기농 거위 사료,53,772,랍스터,0,1,양배추,0,2,커피,0,4,,,,,,
248,사과 프렌치 토스트,53,5152,딸기잼 듬뿍 식빵,1,3,꿀레몬청,1,1,사과,0,20,조리 도구 세트,1,3,,,
249,크리미 녹차 라떼,54,3565,식기 세트,1,1,찻잎,0,6,오복 아이스티,1,1,생크림,1,5,바닐라 시럽,1,1
250,화이트 초코 마들렌,55,8472,설탕,1,2,레몬 머랭 쿠키,1,2,초콜릿,1,4,그릇,1,2,,,
251,청포도 에이드,56,7919,찻잎,0,6,톡톡팡팡 탄산수,1,2,포도,0,6,꿀레몬청,1,2,얼음,1,4
252,양갈비 그릴 스테이크,57,9522,아스파라거스,0,5,그릴드 허브 치킨,1,2,오동나무 판자,1,2,양고기,0,6,,,
253,허니로얄 크림 밀푀유,59,9945,그릇,1,3,스위트 바닐라 아이스크림,1,2,베리베리 타르트,1,5,바닐라 시럽,1,4,,,
254,노블레스 향긋한 레몬 코냑,68,39024,포포르도 와인,1,2,레몬,0,10,백금 과일 접시,1,1,,,,,,
255,아일랜드 양고기 스튜,84,9761,감자,0,5,비프스튜,1,5,양고기,0,7,프라이팬,1,2,토마토,0,5
256,바닐라 케이크팝,84,22001,딸기 케이크,1,4,스위트 바닐라 아이스크림,1,5,바닐라 시럽,1,7,설탕,1,7,생크림,1,5
257,랍스터 피자,90,77184,포포르도 와인,1,3,칠리 새우,1,7,랍스터 치즈 화덕구이,1,5,로얄 카나페 세트,1,3,랍스터,0,5
258,연어 플랫브레드,90,98776,네이비 도트 베이킹 세트,1,5,모닝 로얄 크로와상,1,4,연어 샐러드,1,5,후레쉬 치킨 샐러드,4,5,연어,0,5
259,무명천,10,12,솜,0,1,,,,,,,,,,,,
260,빨간 무명천,10,16,솜,0,1,딸기,0,2,,,,,,,,,
261,빨간 리본,10,20,빨간 무명천,1,1,,,,,,,,,,,,
262,아가일 패턴 매트,10,34,무명천,1,2,나무 넝쿨,0,1,,,,,,,,,
263,가봉을 마친 투버튼 심플 원피스,10,42,무명천,1,3,,,,,,,,,,,,
264,가봉을 마친 투버튼 심플 바지,10,158,무명천,1,3,,,,,,,,,,,,
265,투버튼 심플 원피스,10,158,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 투버튼 심플 원피스,1,1,노란 별 열매,0,1,파란 별 열매,0,1
266,투버튼 심플 바지,10,158,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 투버튼 심플 바지,1,1,노란 별 열매,0,1,파란 별 열매,0,1
267,베이직 라운딩 러그,10,113,나무 넝쿨,0,3,무명천,1,6,밀짚끈,1,10,,,,,,
268,봉제 곰 인형,11,63,솜,0,3,무명천,1,2,,,,,,,,,
269,패브릭 리본 행거,11,48,빨간 무명천,1,1,무명천,1,1,전나무 목재,0,2,,,,,,
270,털실,13,12,양털,0,1,,,,,,,,,,,,
271,레이스,13,30,털실,1,1,무명천,1,1,,,,,,,,,
272,옹기종기 털실 바구니,14,98,나무 넝쿨,0,2,털실,1,4,솜,0,2,,,,,,
273,원형 피스 러그,14,345,빨간 무명천,1,8,무명천,1,8,털실,1,3,,,,,,
274,지그재그 스티치 벽지,15,523,노란장미,0,10,무명천,1,10,나무 판자,1,10,,,,,,
275,가봉을 마친 별무늬 맨투맨 반바지,16,168,털실,1,2,무명천,1,5,가죽끈,1,1,,,,,,
276,가봉을 마친 별무늬 맨투맨 청바지,16,168,털실,1,2,무명천,1,5,가죽끈,1,1,,,,,,
277,별무늬 맨투맨 반바지,16,343,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 별무늬 맨투맨 반바지,1,1,노란 별 열매,0,1,파란 별 열매,0,1
278,별무늬 맨투맨 청바지,16,343,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 별무늬 맨투맨 청바지,1,1,노란 별 열매,0,1,파란 별 열매,0,1
279,유러피안 반달 매트,18,157,털실,1,4,아가일 패턴 매트,1,1,솜,0,3,,,,,,
280,가봉을 마친 클래식 리본 바지,18,546,빨간 리본,1,2,무명천,1,10,가죽 단추,1,4,,,,,,
281,가봉을 마친 클래식 셔츠 바지,18,546,빨간 리본,1,2,무명천,1,10,가죽 단추,1,4,,,,,,
282,클래식 리본 바지,18,844,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 클래식 리본 바지,1,1,노란 별 열매,0,1,파란 별 열매,0,1
283,클래식 셔츠 바지,18,844,초록 별 열매,0,1,빨간 별 열매,0,1,가봉을 마친 클래식 셔츠 바지,1,1,노란 별 열매,0,1,파란 별 열매,0,1
284,유러피안 스너그 체어,19,299,무명천,1,5,양털,0,8,레드코튼 원형 체어,1,1,,,,,,
285,로즈우드 앤틱 실타래 선반,20,628,단풍나무 목재,0,4,옹기종기 털실 바구니,1,2,레이스,1,2,,,,,,
286,천,22,72,털실,1,1,무명천,1,3,,,,,,,,,
287,패브릭 3종 세트,22,532,가죽끈,1,1,천,1,2,무명천,1,1,고급 나무 막대기,1,3,,,
288,유러피안 사각 매트,22,541,천,1,3,유러피안 반달 매트,1,1,나무 넝쿨,0,5,,,,,,
289,가봉을 마친 에이프런 프릴 원피스,24,1784,레이스,1,5,가봉을 마친 투버튼 심플 원피스,1,1,천,1,10,가죽 단추,1,6,,,
290,가봉을 마친 리본 타이 반바지,24,1784,레이스,1,5,가봉을 마친 투버튼 심플 원피스,1,1,천,1,10,가죽 단추,1,6,,,
291,리본 타이 반바지,24,2672,초록 별 열매,0,2,빨간 별 열매,0,2,가봉을 마친 리본 타이 반바지,1,1,노란 별 열매,0,2,파란 별 열매,0,2
292,에이프런 프릴 원피스,24,2672,초록 별 열매,0,2,빨간 별 열매,0,2,가봉을 마친 에이프런 프릴 원피스,1,1,노란 별 열매,0,2,파란 별 열매,0,2
293,통통비치 로맨틱 의자,25,1338,나무 넝쿨,0,3,천,1,5,고급 나무 막대기,1,9,,,,,,
294,통통비치 피크닉 돗자리,25,1713,모던레더 스티치 슬리퍼,1,1,천,1,10,고무,0,10,과일 바구니,1,1,,,
295,핑크 바니 수건걸이,26,741,토끼털,0,4,천,1,3,고급 나무 판자,1,1,,,,,,
296,식탁보,26,397,천,1,4,,,,,,,,,,,,
297,산뜻한 봄날 극세사 매트,26,719,토끼털,0,3,유러피안 반달 매트,1,2,양털,0,5,,,,,,
298,봉제 곰인형 장식장,26,1426,로즈우드 앤틱 서랍장,1,1,봉제 곰 인형,1,4,빨간 리본,1,4,,,,,,
299,라임 그린꽃 벽지,27,3327,초록빛 10종 랜덤 염색약,1,1,천,1,6,고급 나무 판자,1,7,찻잎,0,5,,,
300,가봉을 마친 트위스트 후드 원피스,28,3015,고무,0,6,토끼털,0,12,천,1,15,모던레더 스티치 슬리퍼,1,2,,,
301,가봉을 마친 트위스트 후드 바지,28,3015,고무,0,6,토끼털,0,12,천,1,15,모던레더 스티치 슬리퍼,1,2,,,
302,트위스트 후드 원피스,28,4382,초록 별 열매,0,2,빨간 별 열매,0,2,가봉을 마친 트위스트 후드 원피스,1,1,노란 별 열매,0,2,파란 별 열매,0,2
303,트위스트 후드 바지,28,4382,초록 별 열매,0,2,빨간 별 열매,0,2,가봉을 마친 트위스트 후드 바지,1,1,노란 별 열매,0,2,파란 별 열매,0,2
304,네이비 도트 방석 체어,29,1226,천,1,2,브라운 투톤 스툴,1,1,토끼털,0,3,,,,,,
305,하늘 넝쿨 벽지,29,4126,푸른빛 10종 랜덤 염색약,1,1,토끼털,0,10,고급 나무 판자,1,10,고급 나무 벽지,1,1,,,
306,유러피안 극세사 러그,29,2913,토끼털,0,10,유러피안 사각 매트,1,2,원형 피스 러그,1,1,양털,0,10,,,
307,가봉을 마친 윈터벨 망토 원피스,30,4242,천,1,10,토끼털,0,10,별님 가죽 팔찌,1,2,말가죽,0,5,,,
308,가봉을 마친 윈터벨 코트 의상,30,4242,천,1,10,토끼털,0,10,별님 가죽 팔찌,1,2,말가죽,0,5,,,
309,윈터벨 망토 원피스,30,6233,초록 별 열매,0,3,빨간 별 열매,0,3,가봉을 마친 윈터벨 망토 원피스,1,1,노란 별 열매,0,3,파란 별 열매,0,3
310,윈터벨 코트 의상,30,6233,초록 별 열매,0,3,빨간 별 열매,0,3,가봉을 마친 윈터벨 코트 의상,1,1,노란 별 열매,0,3,파란 별 열매,0,3
311,화이트 도트 벽지,30,8235,고급 나무 판자,1,10,종이,1,20,청회색빛 10종 랜덤 염색약,1,1,,,,,,
312,해피바스 리본 슬리퍼,32,823,토끼털,0,8,모던레더 스티치 슬리퍼,1,1,빨간 리본,1,2,,,,,,
313,실크,33,260,누에고치,0,2,나무 막대기,1,1,,,,,,,,,
314,도트 원형 러그,33,8377,실크,1,10,유러피안 극세사 러그,1,1,원형 피스 러그,1,1,양털,0,10,,,
315,가봉을 마친 쉐프 볼륨 스커트,36,6725,조리 도구 세트,1,2,실크,1,10,천,1,8,가죽 단추,1,6,,,
316,가봉을 마친 쉐프 에이프런 바지,36,6725,조리 도구 세트,1,2,실크,1,10,천,1,8,가죽 단추,1,6,,,
317,쉐프 볼륨 스커트,36,10088,초록 별 열매,0,5,빨간 별 열매,0,5,가봉을 마친 쉐프 볼륨 스커트,1,1,노란 별 열매,0,5,파란 별 열매,0,5
318,쉐프 에이프런 바지,36,10088,초록 별 열매,0,5,빨간 별 열매,0,5,가봉을 마친 쉐프 에이프런 바지,1,1,노란 별 열매,0,5,파란 별 열매,0,5
319,앨리스 키친 쿠션 의자,38,2642,양털,0,4,네이비 도트 방석 체어,1,1,실크,1,2,레이스,1,1,,,
320,가봉을 마친 모던 여성 정장,41,17189,링 펜던트 목걸이,1,2,가봉을 마친 클래식 리본 바지,1,1,가봉을 마친 쉐프 볼륨 스커트,1,1,실크,1,10,,,
321,가봉을 마친 모던 남성 정장,41,17189,링 펜던트 목걸이,1,2,가봉을 마친 클래식 셔츠 바지,1,1,가봉을 마친 쉐프 에이프런 바지,1,1,실크,1,10,,,
322,모던 여성 정장,41,24516,초록 별 열매,0,3,빨간 별 열매,0,3,가봉을 마친 모던 여성 정장,1,1,노란 별 열매,0,3,파란 별 열매,0,3
323,모던 남성 정장,41,24516,초록 별 열매,0,3,빨간 별 열매,0,3,가봉을 마친 모던 남성 정장,1,1,노란 별 열매,0,3,파란 별 열매,0,3
324,그라스호퍼 모조 잔디 카펫,42,18091,짧은 수풀 울타리,1,5,토끼털,0,10,도트 원형 러그,1,1,말가죽,0,20,라벤더향 디퓨저,1,1
325,가봉을 마친 여유만만 직장 선배 복장,45,26960,모던레더 서류 가방,1,3,가봉을 마친 모던 여성 정장,1,1,가죽 손목 시계,1,1,빨간 리본 여행용 가방,1,1,,,
326,가봉을 마친 열정적인 신입사원 복장,45,26960,모던레더 서류 가방,1,3,가봉을 마친 모던 남성 정장,1,1,가죽 손목 시계,1,1,빨간 리본 여행용 가방,1,1,,,
327,여유만만 직장 선배 복장,45,38893,초록 별 열매,0,6,빨간 별 열매,0,6,가봉을 마친 여유만만 직장 선배 복장,1,1,노란 별 열매,0,6,파란 별 열매,0,6
328,열정적인 신입사원 복장,45,38893,초록 별 열매,0,6,빨간 별 열매,0,6,가봉을 마친 열정적인 신입사원 복장,1,1,노란 별 열매,0,6,파란 별 열매,0,6
329,금사 타래,47,623,금,0,1,누에고치,0,3,,,,,,,,,
330,금사 노블레스 러그,48,50069,그라스호퍼 모조 잔디 카펫,1,1,금사 타래,1,8,유러피안 극세사 러그,1,3,가죽 태슬,1,8,체리,0,8
331,가봉을 마친 노블레스 드 로브,51,49040,사파이어 팔찌,1,2,금사 타래,1,6,가봉을 마친 모던 여성 정장,1,1,루비 브로치,1,3,데코협회 뱃지,0,60
332,가봉을 마친 노블레스 드 쥐스토코르,51,49040,사파이어 팔찌,1,2,금사 타래,1,6,가봉을 마친 모던 남성 정장,1,1,루비 브로치,1,3,데코협회 뱃지,0,60
333,노블레스 드 로브,51,71312,초록 별 열매,0,10,빨간 별 열매,0,10,가봉을 마친 노블레스 드 로브,1,1,노란 별 열매,0,10,파란 별 열매,0,10
334,노블레스 드 쥐스토코르,51,71312,초록 별 열매,0,10,빨간 별 열매,0,10,가봉을 마친 노블레스 드 쥐스토코르,1,1,노란 별 열매,0,10,파란 별 열매,0,10
335,노블레스 로제타 인형,53,13125,데코협회 뱃지,0,30,실크,1,4,사파이어,0,1,라벤더향 향초,1,1,거위털,0,3
336,벨벳천,54,183007,거위털,0,2,실크,1,1,소가죽,0,1,,,,,,
337,자카드 노블레스 카페트,54,204698,노블레스 백금 바닥,1,1,벨벳천,1,6,금사 노블레스 러그,1,1,푸른빛 6종 랜덤 염색약,1,2,데코협회 감사 뱃지,0,80
338,노블레스 벨벳커튼 벽장식,55,14722,금 막대기,1,5,벨벳천,1,5,석조 노블레스 창문,1,2,금사 타래,1,6,포레스트 케이스먼트 창문,1,1
339,스텔라 노블레스 발매트,56,35686,벨벳천,1,1,식탁보,1,2,앨리스 키친 격자 매트,1,1,금사 타래,1,4,,,
340,노블레스 다이닝 테슬 의자,57,35686,에메랄드,0,1,벨벳천,1,2,월넛 테슬 의자,1,1,로즈우드 앤틱 재봉틀,1,1,가죽 팔찌,1,3
341,가봉을 마친 노블레스 나이트 드레스,57,114198,포포르도 와인잔,1,1,벨벳천,1,7,가봉을 마친 노블레스 드 로브,1,1,해피바스 리본 슬리퍼,1,1,다이아몬드 반지,1,1
342,가봉을 마친 노블레스 나이트 파자마,57,114198,포포르도 와인잔,1,1,벨벳천,1,7,가봉을 마친 노블레스 드 쥐스토코르,1,1,해피바스 리본 슬리퍼,1,1,다이아몬드 반지,1,1
343,노블레스 나이트 드레스,57,165346,초록 별 열매,0,11,빨간 별 열매,0,11,가봉을 마친 노블레스 나이트 드레스,1,1,노란 별 열매,0,11,파란 별 열매,0,11
344,노블레스 나이트 파자마,57,165346,초록 별 열매,0,11,빨간 별 열매,0,11,가봉을 마친 노블레스 나이트 파자마,1,1,노란 별 열매,0,11,파란 별 열매,0,11
345,로얄 노블레스 다이닝 러그,58,360276,벨벳천,1,2,금사 노블레스 러그,1,1,별빛 목재,0,4,청록빛 6종 랜덤 염색약,1,1,자카드 노블레스 카페트,1,1
346,노블레스 실크 스크롤 액자,59,68419,초록빛 6종 랜덤 염색약,1,3,노블레스 자기 화병,1,1,벨벳천,1,4,별빛 원석,0,5,봄날 소복한 꽃길,1,3
347,가봉을 마친 노블레스 유능한 여집사 제복,62,251151,벨벳천,1,2,가봉을 마친 노블레스 나이트 드레스,1,1,금사 노블레스 러그,1,1,,,,,,
348,가봉을 마친 노블레스 유능한 남집사 제복,62,251151,벨벳천,1,2,가봉을 마친 노블레스 나이트 파자마,1,1,금사 노블레스 러그,1,1,,,,,,
349,노블레스 유능한 여집사 제복,62,364308,반짝반짝 주황 별모래,1,1,가봉을 마친 노블레스 유능한 여집사 제복,1,1,금사 타래,1,1,,,,,,
350,노블레스 유능한 남집사 제복,62,364308,반짝반짝 초록 별모래,1,1,가봉을 마친 노블레스 유능한 남집사 제복,1,1,금사 타래,1,1,,,,,,
351,노블레스 로얄 골드 발 매트,65,23962,금,0,2,스텔라 노블레스 발매트,1,1,별빛 원석,0,2,에메랄드,0,1,,,
352,화이트엔젤 진료 침대,70,167383,벨벳천,1,3,라벤더,0,5,유러피안 벨라 침대,1,4,노블레스 안락 소파,1,2,토끼털,0,10
353,가봉을 마친 화이트엔젤 보건의 원피스,77,403301,반짝반짝 파란 별가루,1,2,가봉을 마친 노블레스 유능한 여집사 제복,1,1,자수정,0,5,별빛 이끼,0,5,반짝반짝 분홍 별가루,1,2
